time,open,close,SMA_5,SMA_10,SMA_20
2009-06-23 21:00:00,1.63469,1.6455,1.642852,1.641587,1.6345905000000003
2009-06-24 21:00:00,1.64547,1.64074,1.6443379999999999,1.6412179999999998,1.6344075
2009-06-25 21:00:00,1.6408,1.63684,1.64181,1.6405179999999997,1.6333594999999999
2009-06-26 21:00:00,1.63731,1.65245,1.642052,1.6425589999999999,1.6343979999999998
2009-06-27 21:00:00,1.65245,1.65245,1.6455959999999998,1.6436799999999998,1.6361439999999998
2009-06-28 21:00:00,1.65205,1.65262,1.64702,1.644936,1.6388684999999998
2009-06-29 21:00:00,1.6516,1.65668,1.650208,1.6472729999999998,1.641921
2009-06-30 21:00:00,1.6567599999999998,1.64588,1.6520159999999997,1.646913,1.643958
2009-07-01 21:00:00,1.64592,1.64792,1.6511099999999999,1.646581,1.6448294999999997
2009-07-02 21:00:00,1.6479599999999999,1.63935,1.64849,1.647043,1.6449979999999997
2009-07-03 21:00:00,1.6394799999999998,1.63331,1.6446280000000002,1.645824,1.6437054999999998
2009-07-05 21:00:00,1.63299,1.63242,1.6397760000000001,1.6449919999999998,1.6431049999999998
2009-07-06 21:00:00,1.63234,1.6287,1.6363400000000001,1.6441779999999997,1.6423479999999997
2009-07-07 21:00:00,1.62863,1.61392,1.62954,1.6403249999999996,1.6414419999999996
2009-07-08 21:00:00,1.61401,1.60719,1.6231079999999998,1.6357989999999998,1.6397394999999997
2009-07-09 21:00:00,1.60706,1.63362,1.62317,1.6338989999999995,1.6394174999999997
2009-07-10 21:00:00,1.63382,1.62114,1.6209140000000002,1.6303449999999995,1.6388089999999995
2009-07-12 21:00:00,1.62089,1.62099,1.6193719999999998,1.6278559999999995,1.6373844999999996
2009-07-13 21:00:00,1.62061,1.62276,1.6211399999999998,1.6253399999999996,1.6359604999999995
2009-07-14 21:00:00,1.62285,1.6308799999999999,1.6258779999999997,1.6244929999999997,1.6357679999999994
2009-07-15 21:00:00,1.63085,1.6424,1.6276339999999998,1.6254019999999998,1.6356129999999998
2009-07-16 21:00:00,1.6423599999999998,1.6438599999999999,1.6321779999999997,1.6265459999999998,1.6357689999999994
2009-07-17 21:00:00,1.6439099999999998,1.63351,1.6346819999999997,1.6270269999999996,1.6356024999999996
2009-07-19 21:00:00,1.63355,1.63248,1.6366259999999997,1.6288829999999996,1.6346039999999995
2009-07-20 21:00:00,1.63245,1.65477,1.641404,1.6336409999999997,1.6347199999999993
2009-07-21 21:00:00,1.6548599999999998,1.64585,1.6420939999999997,1.6348639999999997,1.6343814999999995
2009-07-22 21:00:00,1.6459599999999999,1.64894,1.6431099999999996,1.6376439999999994,1.6339944999999996
2009-07-23 21:00:00,1.64898,1.64785,1.6459779999999995,1.6403299999999994,1.6340929999999996
2009-07-24 21:00:00,1.64782,1.6427900000000002,1.6480399999999995,1.6423329999999996,1.6338364999999997
2009-07-26 21:00:00,1.64209,1.6472200000000001,1.6465299999999996,1.6439669999999995,1.6342299999999994
2009-07-27 21:00:00,1.64733,1.64872,1.6471039999999995,1.6445989999999995,1.6350004999999992
